""
"normal     	No probs hon! How u doinat the mo?"
"normal     	Thanx a lot..."
"normal     	Hurry home u big butt. Hang up on your last caller if u have to. Food is done and I'm starving. Don't ask what I cooked."
"normal     	Lol your right. What diet? Everyday I cheat anyway. I'm meant to be a fatty :("
"normal     	Its a great day. Do have yourself a beautiful one."
"normal     	What happened in interview?"
"normal     	Solve d Case : A Man Was Found Murdered On  &lt;DECIMAL&gt; . &lt;#&gt;  AfterNoon. 1,His wife called Police. 2,Police questioned everyone. 3,Wife: Sir,I was sleeping, when the murder took place. 4.Cook: I was cooking. 5.Gardener: I was picking vegetables. 6.House-Maid: I went 2 d post office. 7.Children: We went 2 play. 8.Neighbour: We went 2 a marriage. Police arrested d murderer Immediately. Who's It? Reply With Reason, If U r Brilliant."
"normal     	Badrith is only for chennai:)i will surely pick for us:)no competition for him."
""
"normal     	Hey you around? I've got enough for a half + the ten I owe you"
"normal     	Hey tmr maybe can meet you at yck"
"normal     	ALRITE SAM ITS NIC JUST CHECKIN THAT THIS IS UR NUMBER-SO IS IT?T.B*"
"normal     	They are just making it easy to pay back. I have  &lt;#&gt; yrs to say but i can pay back earlier. You get?"
"normal     	Not to worry. I'm sure you'll get it."
"normal     	The gas station is like a block away from my house, you'll drive right by it since armenia ends at swann and you have to take howard"
"spam          	Someone U know has asked our dating service 2 contact you! Cant Guess who? CALL 09058097189 NOW all will be revealed. POBox 6, LS15HB 150p"
"spam          	Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days"
"normal     	My tuition is at 330. Hm we go for the 1120 to 1205 one? Do you mind?"
"normal     	I'm not smoking while people use ""wylie smokes too much"" to justify ruining my shit"
"normal     	Dear good morning how you feeling dear"
"normal     	A little. Meds say take once every 8 hours. It's only been 5 but pain is back. So I took another. Hope I don't die"
"normal     	Beautiful tomorrow never comes.. When it comes, it's already TODAY.. In the hunt of beautiful tomorrow don't waste your wonderful TODAY.. GOODMORNING:)"
""
"normal     	Hi there. We have now moved in2 our pub . Would be great 2 c u if u cud come up."
"spam          	Todays Voda numbers ending 5226 are selected to receive a ?350 award. If you hava a match please call 08712300220 quoting claim code 1131 standard rates app"
"spam          	This message is free. Welcome to the new & improved Sex & Dogging club! To unsubscribe from this service reply STOP. msgs@150p 18 only"
"normal     	Honeybee Said: *I'm d Sweetest in d World* God Laughed &amp; Said: *Wait,U Havnt Met d Person Reading This Msg* MORAL: Even GOD Can Crack Jokes! GM+GN+GE+GN:)"
"normal     	Just do what ever is easier for you"
"spam          	RCT' THNQ Adrian for U text. Rgds Vatian"
"normal     	Stop calling everyone saying I might have cancer. My throat hurts to talk. I can't be answering everyones calls. If I get one more call I'm not babysitting on Monday"
"normal     	It'll be tough, but I'll do what I have to"
"normal     	IM GONNAMISSU SO MUCH!!I WOULD SAY IL SEND U A POSTCARD BUTTHERES ABOUTAS MUCH CHANCE OF MEREMEMBERIN ASTHERE IS OFSI NOT BREAKIN HIS CONTRACT!! LUV Yaxx"
"normal     	Ee msg na poortiyagi odalebeku: Hanumanji 7 name 1-Hanuman 2-Bajarangabali 3-Maruti 4-Pavanaputra 5-Sankatmochan 6-Ramaduth 7-Mahaveer ee 7 name  &lt;#&gt;  janarige ivatte kalisidare next saturday olage ondu good news keluviri...! Maretare inde 1 dodda problum nalli siguviri idu matra  &lt;#&gt; % true.. Don't neglet."
"normal     	HI DARLIN I FINISH AT 3 DO U 1 2 PICK ME UP OR MEET ME? TEXT BACK ON THIS NUMBER LUV KATE XXX"
"normal     	Set a place for me in your heart and not in your mind, as the mind easily forgets but the heart will always remember. Wish you Happy Valentines Day!"
"normal     	But i'm surprised she still can guess right lor..."
""
"normal     	Oh ho. Is this the first time u use these type of words"
"normal     	HI DARLIN HOW WAS WORK DID U GET INTO TROUBLE? IJUST TALKED TO YOUR MUM ALL MORNING! I HAD A REALLY GOOD TIME LAST NIGHT IM GOIN OUT SOON BUT CALL ME IF U CAN"
"normal     	I know you are serving. I mean what are you doing now."
"normal     	Huh... Hyde park not in mel ah, opps, got confused... Anyway, if tt's e best choice den we juz have to take it..."
"normal     	Oh gei. That happend to me in tron. Maybe ill dl it in 3d when its out"
"spam          	FREE MESSAGE Activate your 500 FREE Text Messages by replying to this message with the word FREE For terms & conditions, visit www.07781482378.com"
"normal     	I know girls always safe and selfish know i got it pa. Thank you. good night."
"normal     	No worries, hope photo shoot went well. have a spiffing fun at workage."
"normal     	I'm freezing and craving ice. Fml"
"normal     	Kay... Since we are out already"
"normal     	Eh sorry leh... I din c ur msg. Not sad already lar. Me watching tv now. U still in office?"
"normal     	Yo im right by yo work"
"normal     	Ok darlin i supose it was ok i just worry too much.i have to do some film stuff my mate and then have to babysit again! But you can call me there.xx"
"normal     	She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife,"
"normal     	I don wake since. I checked that stuff and saw that its true no available spaces. Pls call the embassy or send a mail to them."
"normal     	Nope... Juz off from work..."
"normal     	Huh so fast... Dat means u havent finished painting?"
"normal     	 what number do u live at? Is it 11?"
"normal     	No we put party 7 days a week and study lightly, I think we need to draw in some custom checkboxes so they know we're hardcore"
"normal     	Sac will score big hundred.he is set batsman:-)"
"normal     	Send me yetty's number pls."
"normal     	How much it will cost approx . Per month."
""
"spam          	You are being contacted by our dating service by someone you know! To find out who it is, call from a land line 09050000928. PoBox45W2TG150P"
"normal     	That's fine, have him give me a call if he knows what he wants or has any questions"
"normal     	Sorry, got a late start, we're on the way"
"normal     	Then u go back urself lor..."
"normal     	I AM AT THE GAS STATION. GO THERE."
"normal     	K, if u bored up just come to my home.."
"normal     	Babe !!!! I LOVE YOU !!!! *covers your face in kisses*"
"normal     	Like I made him throw up when we were smoking in our friend's car one time, it was awesome"
"normal     	Still i have not checked it da. . ."
"normal     	You will go to walmart. I.ll stay."
"normal     	I haven't forgotten you, i might have a couple bucks to send you tomorrow, k? I love ya too"
"normal     	Oh great. I.ll disturb him more so that we can talk."
"normal     	Reverse is cheating. That is not mathematics."
"normal     	U're welcome... Caught u using broken english again..."
"normal     	No problem baby. Is this is a good time to talk? I called and left a message."
"normal     	Sorry, I'll call later"
"normal     	Oh is it! Which brand?"
"normal     	Sorry i cant take your call right now. It so happens that there r 2waxsto do wat you want. She can come and ill get her medical insurance. And she'll be able to deliver and have basic care. I'm currently shopping for the right medical insurance for her. So just give me til friday morning. Thats when i.ll see the major person that can guide me to the right insurance."
"normal     	At what time are you coming."
"normal     	Call him and say you not coming today ok and tell them not to fool me like this ok"
""
"normal     	R u sure they'll understand that! Wine * good idea just had a slurp!"
"normal     	Minimum walk is 3miles a day."
"normal     	Ok not a problem will get them a taxi. C ing  tomorrow and tuesday. On tuesday think we r all going to the cinema."
"normal     	Brainless Baby Doll..:-D;-), vehicle sariyag drive madoke barolla.."
"normal     	I don't run away frm u... I walk slowly &amp; it kills me that u don't care enough to stop me..."
"spam          	Sorry I missed your call let's talk when you have the time. I'm on 07090201529"
"normal     	Please attend the phone:)"
"normal     	You only hate me. You can call any but you didnt accept even a single call of mine. Or even you messaged"
"normal     	No messages on her phone. I'm holding it now"
"normal     	Can... I'm free..."
"normal     	Yo my trip got postponed, you still stocked up?"
"normal     	Sorry, I'll call later"
"normal     	I am waiting for your call sir."
"normal     	Hey what are you doing. Y no reply pa.."
"normal     	Hey elaine, is today's meeting still on?"
"normal     	Sorry i've not gone to that place. I.ll do so tomorrow. Really sorry."
"normal     	Most of the tiime when i don't let you hug me it's so i don't break into tears."
"normal     	Tomorrow i am not going to theatre. . . So i can come wherever u call me. . . Tell me where and when to come tomorrow"
"normal     	And now electricity just went out fml."
"normal     	Looks like you found something to do other than smoke, great job!"
"normal     	Also andros ice etc etc"
"normal     	:)"
"normal     	Good afternon, my love. How are today? I hope your good and maybe have some interviews. I wake and miss you babe. A passionate kiss from across the sea"
"normal     	Yup. Wun believe wat? U really neva c e msg i sent shuhui?"
"normal     	Hows that watch resizing"
"normal     	Dear umma she called me now :-)"
"normal     	Just finished. Missing you plenty"
""
"normal     	Well, I meant as opposed to my drunken night of before"
"normal     	K... Must book a not huh? so going for yoga basic on sunday?"
"spam          	FREE MSG:We billed your mobile number by mistake from shortcode 83332.Please call 08081263000 to have charges refunded.This call will be free from a BT landline"
"normal     	Ok can..."
"normal     	Oops - am at my mum's in somerset... Bit far! Back tomo, see you soon x"
"normal     	So u workin overtime nigpun?"
"normal     	Same as kallis dismissial in 2nd test:-)."
"normal     	O. Guess they both got screwd"
"spam          	Please CALL 08712402972 immediately as there is an urgent message waiting for you"
"normal     	I'm in a meeting, call me later at"
"normal     	What r u cooking me for dinner?"
"normal     	Ok thanx..."
"normal     	Bull. Your plan was to go floating off to IKEA with me without a care in the world. So i have to live with your mess another day."
"normal     	Then i buy."
""
"normal     	Heehee that was so funny tho"
"normal     	It only does simple arithmetic not percentages."
"normal     	Yeah we wouldn't leave for an hour at least, how's 4 sound?"
""
"normal     	Thanks honey. Have a great day."
"normal     	'An Amazing Quote'' - ""Sometimes in life its difficult to decide whats wrong!! a lie that brings a smile or the truth that brings a tear...."""
"normal     	Good night my dear.. Sleepwell&amp;Take care"
""
"normal     	Jus chillaxin, what up"
"normal     	""HEY DAS COOL... IKNOW ALL 2 WELLDA PERIL OF STUDENTFINANCIAL CRISIS!SPK 2 U L8R."""
"normal     	Beautiful Truth against Gravity.. Read carefully: ""Our heart feels light when someone is in it.. But it feels very heavy when someone leaves it.."" GOODMORNING"
"spam          	Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705"
"normal     	Whats that coming over the hill..... Is it a monster! Hope you have a great day. Things r going fine here, busy though!"
"normal     	Joy's father is John. Then John is the ____ of Joy's father. If u ans ths you hav  &lt;#&gt;  IQ. Tis s IAS question try to answer."
"normal     	Only once then after ill obey all yours."
"normal     	No she didnt. I will search online and let you know."
"normal     	Where do you need to go to get it?"
"normal     	No pic. Please re-send."
"normal     	He remains a bro amongst bros"
"normal     	Uhhhhrmm isnt having tb test bad when youre sick"
"normal     	But i haf enuff space got like 4 mb..."
"spam          	LIFE has never been this much fun and great until you came in. You made it truly special for me. I won't forget you! enjoy @ one gbp/sms"
"spam          	Do you want a new Video phone? 600 anytime any network mins 400 Inclusive Video calls AND downloads 5 per week Free delTOMORROW call 08002888812 or reply NOW"
""
"spam          	Welcome! Please reply with your AGE and GENDER to begin. e.g 24M"
"spam          	Freemsg: 1-month unlimited free calls! Activate SmartCall Txt: CALL to No: 68866. Subscriptn3gbp/wk unlimited calls Help: 08448714184 Stop?txt stop landlineonly"
""
"normal     	No but the bluray player can"
"normal     	Ok... Then r we meeting later?"
"normal     	Lol no. I just need to cash in my nitros. Hurry come on before I crash out!"
"normal     	Just send a text. We'll skype later."
"normal     	Ok leave no need to ask"
"spam          	Congrats 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid ur mates, play java games, Dload polypH music, noline rentl. bx420. ip4. 5we. 150p"
""
"normal     	Y she dun believe leh? I tot i told her it's true already. I thk she muz c us tog then she believe."
"normal     	Oh did you charge camera"
"normal     	I've got some salt, you can rub it in my open wounds if you like!"
"normal     	Now i'm going for lunch."
""
"normal     	Oh k. . I will come tomorrow"
"normal     	Aight, text me tonight and we'll see what's up"
"normal     	U 2."
"normal     	Water logging in desert. Geoenvironmental implications."
"normal     	Raji..pls do me a favour. Pls convey my Birthday wishes to Nimya. Pls. Today is her birthday."
"normal     	Company is very good.environment is terrific and food is really nice:)"
"normal     	Very strange.  and  are watching the 2nd one now but i'm in bed. Sweet dreams, miss u"
"spam          	SMS AUCTION - A BRAND NEW Nokia 7250 is up 4 auction today! Auction is FREE 2 join & take part! Txt NOKIA to 86021 now!"
"normal     	Hi hope u r both ok, he said he would text and he hasn't, have u seen him, let me down gently please"
"normal     	Babe! I fucking love you too !! You know? Fuck it was so good to hear your voice. I so need that. I crave it. I can't get enough. I adore you, Ahmad *kisses*"
"normal     	K sure am in my relatives home. Sms me de. Pls:-)"
"normal     	I sent them. Do you like?"
"normal     	Fuuuuck I need to stop sleepin, sup"
"normal     	I'm in town now so i'll jus take mrt down later."
"normal     	I just cooked a rather nice salmon a la you"
"normal     	I uploaded mine to Facebook"
"normal     	WHAT TIME U WRKIN?"
"normal     	Okie"
"spam          	ree entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+"
"spam          	Our records indicate u maybe entitled to 5000 pounds in compensation for the Accident you had. To claim 4 free reply with CLAIM to this msg. 2 stop txt STOP"
"normal     	Sorry, I'll call later"
"normal     	Oh oh... Den muz change plan liao... Go back have to yan jiu again..."
"normal     	It's wylie, you in tampa or sarasota?"
"normal     	Ok... Take ur time n enjoy ur dinner..."
"normal     	Darren was saying dat if u meeting da ge den we dun meet 4 dinner. Cos later u leave xy will feel awkward. Den u meet him 4 lunch lor."
"spam          	Spook up your mob with a Halloween collection of a logo & pic message plus a free eerie tone, txt CARD SPOOK to 8007 zed 08701417012150p per logo/pic"
